campaign,prod_type,subject,sent,uniq_open,uniq_click
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 2500 are unused. Redeem now,33,1,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 2500,32,1,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 2500,31,0,0
MBNB UseCase,MB Registration,Hello hAPPiness - Here's your chance to win OnePlus5,6345,623,10
MBNB UseCase,MB Registration,"July Special: Win OnePlus 5, 4Kindles and 400 Movie Vouchers.",3759,360,11
MBNB UseCase,MB Registration,Here's how you can win a OnePlus 5 Phone.,2756,345,4
MBNB UseCase,MB Registration,Here's how you can win a OnePlus 5 Phone.,7101,792,14
MBNB UseCase,MB Registration,Hello hAPPiness - Here's your chance to win a OnePlus 5,86069,5697,32
MBNB UseCase,MB Registration,Hello hAPPiness - Here's your chance to win a OnePlus 5,59937,4624,35
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,32,0,0
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 4000 are unused. Redeem now,41,3,0
DCVoucherActivation,DCVoucherActivation,Don't Miss. Your Vouchers worth Rs 4000 are unused. Redeem now,31,0,0
DCVoucherActivation,DCVoucherActivation,Don't Miss. Your Vouchers worth Rs 2500 are unused. Redeem now,34,1,0
DCVoucherActivation,DCVoucherActivation,Don't Miss. Your Vouchers worth Rs 10000 are unused. Redeem now,30,0,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 4000.,72,9,1
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 7500.,39,2,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 2500,75,9,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 1000.,50,2,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 10000.,41,5,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,31,2,1
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 4000 are unused. Redeem now,32,0,0
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 2500 are unused. Redeem now,34,4,0
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 1000 are unused. Redeem now,31,1,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 4000.,35,2,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 7500.,32,1,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 2500,34,3,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 1000.,33,3,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 10000.,33,5,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,32,2,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,32,1,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,34,2,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,32,1,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,31,2,0
DCVoucherActivation,DCVoucherActivation,Don't Miss. Your Vouchers worth Rs 4000 are unused. Redeem now,55,3,1
DCVoucherActivation,DCVoucherActivation,Don't Miss. Your Vouchers worth Rs 7500 are unused. Redeem now,40,2,0
DCVoucherActivation,DCVoucherActivation,Don't Miss. Your Vouchers worth Rs 2500 are unused. Redeem now,57,5,0
DCVoucherActivation,DCVoucherActivation,Don't Miss. Your Vouchers worth Rs 1000 are unused. Redeem now,41,2,0
DCVoucherActivation,DCVoucherActivation,Don't Miss. Your Vouchers worth Rs 10000 are unused. Redeem now,47,3,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 4000.,103,14,2
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 7500.,54,5,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 2500,115,17,1
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 1000.,58,6,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 10000.,54,7,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,36,0,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,50,6,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,42,1,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,39,1,1
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,41,3,1
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,30,1,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,30,1,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,32,1,0
DCVoucherActivation,DCVoucherActivation,Don't Miss. Your Vouchers worth Rs 4000 are unused. Redeem now,32,1,0
DCVoucherActivation,DCVoucherActivation,Don't Miss. Your Vouchers worth Rs 7500 are unused. Redeem now,30,2,0
DCVoucherActivation,DCVoucherActivation,Don't Miss. Your Vouchers worth Rs 2500 are unused. Redeem now,35,0,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 4000.,35,1,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 7500.,33,1,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 2500,38,1,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 1000.,39,4,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 10000.,32,1,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,32,0,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,36,2,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,30,0,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,31,1,0
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.10,000 on our power packed Debit Card",15770,1446,18
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.15,600 on our power packed Debit Card",17609,1885,22
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, benefits worth Rs.19,100 await you. Details inside",8493,911,19
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.11,500 on our power packed Debit Card",33495,3185,29
D.C Acquisition,DC,"Dear %%Opportunity_Name%%, avail benefits worth Rs.10,000 on our power packed Debit Card",423,42,0
D.C Acquisition,DC,"Dear %%Opportunity_Name%%, avail benefits worth Rs.11,500 on our power packed Debit Card",939,119,0
D.C Acquisition,DC,"Dear %%Opportunity_Name%%, avail benefits worth Rs.15,600 on our power packed Debit Card",521,64,0
D.C Acquisition,DC,"Dear %%Opportunity_Name%%, benefits worth Rs.19,100 await you. Details inside",272,37,0
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.21,600 on our power packed Debit Card",24004,2647,21
D.C Acquisition,DC,"Dear %%Opportunity_Name%%, avail benefits worth Rs.21,600 await you. Details inside",822,91,1
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 4000 are unused. Redeem now,33,0,0
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 7500 are unused. Redeem now,31,0,0
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 2500 are unused. Redeem now,33,3,0
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 1000 are unused. Redeem now,31,0,0
DCVoucherActivation,DCVoucherActivation,Don't Miss. Your Vouchers worth Rs 4000 are unused. Redeem now,46,3,0
DCVoucherActivation,DCVoucherActivation,Don't Miss. Your Vouchers worth Rs 7500 are unused. Redeem now,33,1,0
DCVoucherActivation,DCVoucherActivation,Don't Miss. Your Vouchers worth Rs 2500 are unused. Redeem now,66,5,1
DCVoucherActivation,DCVoucherActivation,Don't Miss. Your Vouchers worth Rs 1000 are unused. Redeem now,41,2,1
DCVoucherActivation,DCVoucherActivation,Don't Miss. Your Vouchers worth Rs 10000 are unused. Redeem now,31,1,1
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 4000.,92,8,1
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 7500.,49,3,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 2500,100,16,1
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 1000.,64,11,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 10000.,54,4,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,39,3,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,69,7,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,65,2,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,39,3,0
AppyHappy,MB Transaction,July Surprise: Here's your chance to win OnePlus5.,6389,585,7
AppyHappy,MB Transaction,"Here's how you can win OnePlus5, 4 Kindle& 400 movie vouchers. Details Inside",6339,606,7
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,79,12,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,36,3,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,49,4,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,45,8,0
AppyHappy,MB Transaction,Surprise: Here's your chance to win OnePlus5,1976,326,0
AppyHappy,MB Transaction,"July Gifts: Win OnePlus5, 4 Kindle & 400 movie vouchers",1899,298,4
DCVoucherActivation,DCVoucherActivation,Don't Miss. Your Vouchers worth Rs 4000 are unused. Redeem now,34,0,0
DCVoucherActivation,DCVoucherActivation,Don't Miss. Your Vouchers worth Rs 2500 are unused. Redeem now,32,1,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 4000.,39,3,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 7500.,31,0,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 2500,44,7,2
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 1000.,35,2,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 10000.,32,2,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,32,2,0
DCVoucherActivation,DCVoucherActivation,Know your Account Balance in a jiffy. Download the IndusMobile App.,102,14,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,31,2,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,36,6,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,36,0,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,34,2,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,35,2,1
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,34,2,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,31,1,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,33,2,0
MB Registration,MB Registration,24*7 instant fund transfer only on IndusMobile,38558,2351,5
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 4000 are unused. Redeem now,30,0,0
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 2500 are unused. Redeem now,31,0,0
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 1000 are unused. Redeem now,31,1,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,30,3,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,30,1,0
DCVoucherActivation,DCVoucherActivation,Know your Account Balance in a jiffy. Download the IndusMobile App.,53,3,0
AppyHappy,MB Transaction,"Here's how you can win OnePlus5, 4 Kindle& 400 movie vouchers. Details Inside",105779,9695,106
AppyHappy,MB Transaction,Surprise: Here's your chance to win OnePlus5,33948,4990,32
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 1000 are unused. Redeem now,31,2,0
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 4000 are unused. Redeem now,30,1,0
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 2500 are unused. Redeem now,31,1,0
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 1000 are unused. Redeem now,31,1,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,30,2,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,30,2,0
MBNB UseCase,MB Registration,Hello hAPPiness - Here's your chance to win OnePlus5,32,3,0
MBNB UseCase,MB Registration,"July Special: Win OnePlus 5, 4Kindles and 400 Movie Vouchers.",31,5,0
MBNB UseCase,MB Registration,Here's how you can win a OnePlus 5 Phone.,67,9,0
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 1000 are unused. Redeem now,31,1,0
MBNB UseCase,MB Registration,Hello hAPPiness - Here's your chance to win a OnePlus 5,2378,301,2
MBNB UseCase,MB Registration,Don't Miss the chance to win OnePlus 5. Last few days left.,44085,3116,14
MBNB UseCase,MB Registration,Here's how you can win a OnePlus 5 Phone.,46,5,0
MBNB UseCase,MB Registration,Hello hAPPiness - Here's your chance to win a OnePlus 5,5734,753,12
NB Transaction,NB Transaction,Transact on IndusNet and avail enhanced daily transaction limit of Rs. 25 Lakhs.,22768,1853,64
NB Registration,NB Registration,Welcome to the new way of Banking.,26704,2378,82
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.10,000 on our power packed Debit Card",45,4,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,37,3,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,41,5,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,31,1,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,54,4,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,33,4,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,42,4,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,32,0,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,33,2,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,45,5,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 10000.,45,4,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,44,5,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 7500.,38,3,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 7500.,30,2,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,34,3,1
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,68,5,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,32,1,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 1000.,40,3,0
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 4000 are unused. Redeem now,31,2,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,93,11,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,36,1,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 4000.,52,2,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 4000.,30,2,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 2500,35,3,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 2500,54,6,0
NRCampaign,NRE,Earn 6% interest p.a. on your NRI Savings Account. Know more.,33516,5446,14
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,34,1,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,62,6,2
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,34,2,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,38,1,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,32,2,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,32,1,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,50,4,1
DCVoucherActivation,DCVoucherActivation,Don't Miss. Your Vouchers worth Rs 7500 are unused. Redeem now,31,1,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,36,2,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 7500.,32,0,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,33,2,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,31,2,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,30,1,0
DCVoucherActivation,DCVoucherActivation,Don't Miss. Your Vouchers worth Rs 4000 are unused. Redeem now,32,0,0
DCVoucherActivation,DCVoucherActivation,Don't Miss. Your Vouchers worth Rs 1000 are unused. Redeem now,31,2,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 1000.,38,1,0
DCVoucherActivation,DCVoucherActivation,Don't Miss. Your Vouchers worth Rs 2500 are unused. Redeem now,31,3,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,31,1,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,32,1,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 4000.,32,0,0
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 4000.,45,5,1
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 2500,64,5,1
DCVoucherActivation,DCVoucherActivation,Expiring soon. Last few days to redeem vouchers worth Rs 2500,32,1,0
D.C Acquisition,DC,"Dear %%Opportunity_Name%%, avail benefits worth Rs.21,600 await you. Details inside",821,99,1
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.21,600 on our power packed Debit Card",23968,2475,36
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.11,500 on our power packed Debit Card",33435,3088,26
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.10,000 on our power packed Debit Card",15747,1389,14
D.C Acquisition,DC,"Dear %%Opportunity_Name%%, avail benefits worth Rs.15,600 on our power packed Debit Card",520,75,1
D.C Acquisition,DC,"Dear %%Opportunity_Name%%, avail benefits worth Rs.10,000 on our power packed Debit Card",423,43,0
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, benefits worth Rs.19,100 await you. Details inside",8472,833,13
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.15,600 on our power packed Debit Card",17569,1754,17
D.C Acquisition,DC,"Dear %%Opportunity_Name%%, benefits worth Rs.19,100 await you. Details inside",272,36,1
D.C Acquisition,DC,"Dear %%Opportunity_Name%%, avail benefits worth Rs.11,500 on our power packed Debit Card",937,101,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,32,1,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,35,1,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,32,2,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,31,2,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,36,3,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,33,3,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,31,1,0
DCVoucherActivation,DCVoucherActivation,Don't Miss. Your Vouchers worth Rs 4000 are unused. Redeem now,30,0,0
DCVoucherActivation,DCVoucherActivation,Don't Miss. Your Vouchers worth Rs 1000 are unused. Redeem now,31,0,0
DCVoucherActivation,DCVoucherActivation,Don't Miss. Your Vouchers worth Rs 1000 are unused. Redeem now,31,2,0
DCVoucherActivation,DCVoucherActivation,Don't Miss. Your Vouchers worth Rs 2500 are unused. Redeem now,30,0,0
MB Transaction,MB Transaction,Avail enhanced daily transaction limit of Rs. 10 Lakhs on your IndusMobile app,14771,1754,15
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,31,1,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,31,0,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,39,2,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,36,4,1
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,32,2,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,33,0,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,40,2,1
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 7500 are unused. Redeem now,32,2,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,30,0,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,31,1,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,31,2,0
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 10000 are unused. Redeem now,31,0,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,34,0,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,69,9,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,50,1,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,33,2,0
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 1000 are unused. Redeem now,31,1,0
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 1000 are unused. Redeem now,34,1,0
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 4000 are unused. Redeem now,31,2,0
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 4000 are unused. Redeem now,31,0,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,74,13,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,33,3,0
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 2500 are unused. Redeem now,31,0,0
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 2500 are unused. Redeem now,53,5,1
Appy Happy,MB Transaction,"Stay ahead in the race - Win OnePlus5, 4 Kindles & 400 Movie Vouchers.",106691,5250,51
Appy Happy,MB Transaction,Time's ticking. Will you be the top transactor to win OnePlus 5?,32594,2615,23
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,32,3,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,33,3,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,72,9,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,34,2,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,38,3,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,35,3,0
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 7500 are unused. Redeem now,31,2,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,32,2,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,59,1,0
DCVoucherActivation,DCVoucherActivation,Don't Miss. Your Vouchers worth Rs 7500 are unused. Redeem now,31,3,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,38,5,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,32,2,0
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 10000 are unused. Redeem now,33,4,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,31,2,0
DCVoucherActivation,DCVoucherActivation,Don't Miss. Your Vouchers worth Rs 4000 are unused. Redeem now,31,2,0
DCVoucherActivation,DCVoucherActivation,Don't Miss. Your Vouchers worth Rs 1000 are unused. Redeem now,31,2,0
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 1000 are unused. Redeem now,32,4,0
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 4000 are unused. Redeem now,31,2,1
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 4000 are unused. Redeem now,33,4,0
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 2500 are unused. Redeem now,32,1,0
DCVoucherActivation,DCVoucherActivation,Your Vouchers worth Rs 2500 are unused. Redeem now,33,3,0
D.C Acquisition,DC,"Dear %%Opportunity_Name%%, avail benefits worth Rs.21,600 await you. Details inside",820,88,2
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.21,600 on our power packed Debit Card",23930,2299,22
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.11,500 on our power packed Debit Card",33403,2954,29
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.10,000 on our power packed Debit Card",15733,1320,13
D.C Acquisition,DC,"Dear %%Opportunity_Name%%, avail benefits worth Rs.15,600 on our power packed Debit Card",519,57,0
D.C Acquisition,DC,"Dear %%Opportunity_Name%%, avail benefits worth Rs.10,000 on our power packed Debit Card",423,37,0
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, benefits worth Rs.19,100 await you. Details inside",8458,771,6
D.C Upgrade,D.C Upgrade,"Dear %%Opportunity_Name%%, avail benefits worth Rs.15,600 on our power packed Debit Card",17546,1607,14
D.C Acquisition,DC,"Dear %%Opportunity_Name%%, benefits worth Rs.19,100 await you. Details inside",271,33,0
D.C Acquisition,DC,"Dear %%Opportunity_Name%%, avail benefits worth Rs.11,500 on our power packed Debit Card",935,94,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,33,1,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,48,4,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,32,2,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,32,1,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,49,5,0
DCVoucherActivation,DCVoucherActivation,Important: Extended Voucher Redemption ends soon,32,1,0
DCVoucherActivation,DCVoucherActivation,Last few days before your voucher expires,34,2,0
DCVoucherActivation,DCVoucherActivation,Don't miss redeeming your vouchers worth Rs 7500. Hurry,34,2,0
DCVoucherActivation,DCVoucherActivation,Don't miss redeeming your vouchers worth Rs 1000. Hurry,31,0,0
